chr,start,end,strand,symbol,perc_meth.NGO,perc_meth.GVO
chr1,109408086,109422177,+,Serpinb2,0.002881844,0.863713799
chr1,109425579,109445848,+,Serpinb10,0.011682243,0.511242604
chr1,109425579,109445848,+,Serpinb10,0.011682243,0.511242604
chr1,109425579,109445848,+,Serpinb10,0.011682243,0.511242604
chr1,109425579,109445848,+,Serpinb10,0.011682243,0.511242604
chr1,109486582,109502727,+,Serpinb8,0.014634146,0.633093525
chr1,109486582,109505555,+,Serpinb8,0.013003901,0.606281958
chr1,10983545,11293763,+,Prex2,0.038989457,0.359994442
chr1,111880313,112035578,+,Cdh7,0.049830821,0.177342048
chr1,11254043,11293763,+,Prex2,0.036619718,0.858138724
chr1,112785771,112873949,-,Cdh19,0.032945736,0.442535688
chr1,113755278,113761495,-,Dsel,0,0.190969652
chr1,11404185,11591902,+,A830018L16Rik,0.062686044,0.449385606
chr1,11404185,11591902,+,A830018L16Rik,0.062686044,0.449385606
chr1,11404185,11591902,+,A830018L16Rik,0.062686044,0.449385606
chr1,11404185,11591902,+,A830018L16Rik,0.062686044,0.449385606
chr1,11404185,11965983,+,A830018L16Rik,0.083720612,0.372425079
chr1,11404185,11965983,+,A830018L16Rik,0.083720612,0.372425079
chr1,11404185,11965983,+,A830018L16Rik,0.083720612,0.372425079
chr1,11404185,11965983,+,A830018L16Rik,0.083720612,0.372425079
chr1,117581713,118477251,+,Cntnap5a,0.017719123,0.236700612
chr1,120195094,120207709,-,Tsn,0.004120879,0.368888889
chr1,120218419,120230408,+,Mki67ip,0.005988024,0.703025775
chr1,120285634,120506039,+,Clasp1,0.010404624,0.749330746
chr1,120285634,120506039,+,Clasp1,0.010404624,0.749330746
chr1,120285634,120506039,+,Clasp1,0.010404624,0.749330746
chr1,120285634,120506039,+,Clasp1,0.010404624,0.749330746
chr1,120285634,120506039,+,Clasp1,0.010404624,0.749330746
chr1,120285634,120506039,+,Clasp1,0.010404624,0.749330746
chr1,120285634,120506039,+,Clasp1,0.010404624,0.749330746
chr1,120285634,120506039,+,Clasp1,0.010404624,0.749330746
chr1,120285634,120506039,+,Clasp1,0.010404624,0.749330746
chr1,120355245,120355842,-,2900060B14Rik,0,0
chr1,120524521,120581745,+,Tfcp2l1,0.010732904,0.848410048
chr1,120730637,120950196,-,Gli2,0.010286225,0.383212969
chr1,121312041,121318825,-,Inhbb,0.005469915,0.011389522
chr1,121366881,121401359,-,Ralb,0.011199126,0.03380102
chr1,121422730,121425560,+,Tmem185b,0.023411371,0.413606261
chr1,121441609,121545577,-,Epb4.1l5,0.015312633,0.681126876
chr1,121491400,121545577,-,Epb4.1l5,0.008089368,0.753636364
chr1,121554669,121733648,-,Ptpn4,0.014557408,0.872895529
chr1,121804477,121809745,-,Tmem177,0.008547009,0.566905005
chr1,121820095,121891787,-,Gm101,0.01531589,0.801404853
chr1,121903556,121960109,+,Sctr,0.010707116,0.040310078
chr1,121963953,121970357,-,Tmem37,0.021101993,0.937934724
chr1,122009856,122017496,-,Dbi,0.009888752,0.844221106
chr1,122009856,122017673,-,Dbi,0.010033445,0.734594857
chr1,122017763,122084766,+,3110009E18Rik,0.007931902,0.647445255
chr1,122017763,122084766,+,3110009E18Rik,0.007931902,0.647445255
chr1,122017763,122084766,+,3110009E18Rik,0.007931902,0.647445255
chr1,122017763,122084766,+,3110009E18Rik,0.007931902,0.647445255
chr1,122122992,122161857,-,Steap3,0.005418423,0.025257514
chr1,122122992,122167659,-,Steap3,0.005054536,0.023322524
chr1,122237158,122239751,+,C1ql2,0.012589928,0.013174146
chr1,122371114,122401661,-,Marco,0.031100478,0.832538737
chr1,122499063,122504568,+,En1,0.005363528,0.013973799
chr1,122983981,123017552,+,B230209K01Rik,0.007179487,0.036903226
chr1,123200929,123224255,-,Insig2,0.006102212,0.773460411
chr1,123200929,123224601,-,Insig2,0.005490734,0.704742819
chr1,123200929,123224601,-,Insig2,0.005490734,0.704742819
chr1,123200929,123224601,-,Insig2,0.005490734,0.704742819
chr1,123200929,123224601,-,Insig2,0.005490734,0.704742819
chr1,123200929,123229166,-,Insig2,0.005888651,0.600824105
chr1,123327643,123403037,+,Ccdc93,0.021760774,0.815746806
chr1,123327643,123403037,+,Ccdc93,0.021760774,0.815746806
chr1,123327643,123403037,+,Ccdc93,0.021760774,0.815746806
chr1,123327643,123403037,+,Ccdc93,0.021760774,0.815746806
chr1,123406349,123425042,-,Htr5b,0.008541393,0.188467375
chr1,123450411,123464557,-,Ddx18,0.00911641,0.663298663
chr1,125228714,125942136,-,Dpp10,0.014566829,0.239034156
chr1,12657643,12663171,+,Gm17644,0.106617647,0.894904459
chr1,12682510,12850453,+,Sulf1,0.014454433,0.71409523
chr1,12682510,12850453,+,Sulf1,0.014454433,0.71409523
chr1,12682510,12850453,+,Sulf1,0.014454433,0.71409523
chr1,12682510,12850453,+,Sulf1,0.014454433,0.71409523
chr1,12708625,12850453,+,Sulf1,0.014773777,0.783080478
chr1,127289481,127332304,-,Actr3,0.011758119,0.638977636
chr1,127289481,127332304,-,Actr3,0.011758119,0.638977636
chr1,127289481,127332304,-,Actr3,0.011758119,0.638977636
chr1,127289481,127332304,-,Actr3,0.011758119,0.638977636
chr1,127289481,127332304,-,Actr3,0.011758119,0.638977636
chr1,127289481,127332304,-,Actr3,0.011758119,0.638977636
chr1,127289481,127332304,-,Actr3,0.011758119,0.638977636
chr1,127289481,127332304,-,Actr3,0.011758119,0.638977636
chr1,127289481,127332304,-,Actr3,0.011758119,0.638977636
chr1,127457592,127492261,+,Slc35f5,0.009646302,0.676885645
chr1,127573572,127770438,+,Gpr39,0.009050234,0.061539201
chr1,127768618,127808791,-,Lypd1,0.009609423,0.034208552
chr1,127810212,128389504,-,Nckap5,0.01556391,0.780730159
chr1,127810212,128727209,-,Nckap5,0.014529225,0.681665129
chr1,127810212,128727209,-,Nckap5,0.014529225,0.681665129
chr1,127810212,128727209,-,Nckap5,0.014529225,0.681665129
chr1,127810212,128727209,-,Nckap5,0.014529225,0.681665129
chr1,12856630,12981216,-,Slco5a1,0.014747307,0.409080486
chr1,129101562,129379549,+,Mgat5,0.010383813,0.856053769
chr1,129386918,129574598,-,Tmem163,0.028771738,0.161844062
chr1,129625989,129664141,+,Acmsd,0.012700166,0.347642876
chr1,129650193,129670631,-,2900009J06Rik,0.007531381,0.775494071
chr1,129670740,129701414,+,Ccnt2,0.012554585,0.6785404
chr1,129711847,129736867,-,Map3k19,0.010011123,0.155573815
chr1,129765349,129840453,+,Rab3gap1,0.065388566,0.84431631
chr1,129850762,129998985,-,Zranb3,0.045727424,0.878774562
chr1,129999882,130134312,+,R3hdm1,0.013523858,0.83387827
chr1,130098937,130099007,+,Mir128-1,0,0.810810811
chr1,130140757,130175954,+,Ubxn4,0.018932039,0.649085795
chr1,130181340,130224895,-,Lct,0.016764236,0.753424658
chr1,130228167,130256233,-,Mcm6,0.014414414,0.804274466
chr1,130260283,130313993,-,Dars,0.011042403,0.663702172
chr1,130308694,130313993,-,Dars,0.010830325,0.207732634
chr1,130484775,130488876,-,Cxcr4,0.010086455,0.248523886
chr1,13103508,13117244,-,Prdm14,0.011242973,0.016324381
chr1,131169880,132115855,+,Thsd7b,0.023637012,0.337242053
chr1,13129239,13364164,-,Ncoa2,0.012799456,0.860583713
chr1,13129239,13364164,-,Ncoa2,0.012799456,0.860583713
chr1,13129239,13364164,-,Ncoa2,0.012799456,0.860583713
chr1,13129239,13364164,-,Ncoa2,0.012799456,0.860583713
chr1,132285104,132319576,-,Daf2,0.04,0.766627312
chr1,132335606,132359317,-,Cd55,0.002030457,0.628597533
chr1,132473282,132526183,-,Zp3r,0.029606942,0.802670623
chr1,132532497,132558195,-,C4bp,0.00275989,0.025842178
chr1,132566778,132578148,-,C4bp-ps1,0.014492754,0.708174905
chr1,132585619,132612398,-,Pfkfb2,0.007832898,0.840053405
chr1,132585619,132625830,-,Pfkfb2,0.008171913,0.588476763
chr1,132588831,132612398,-,Pfkfb2,0.007428571,0.838975567
chr1,132593593,132611153,-,Pfkfb2,0.006259781,0.9703125
chr1,132613903,132618634,+,Yod1,0.006060606,0.475124378
chr1,132628552,132641199,+,AA986860,0.008417508,0.021786492
chr1,132697478,132711317,+,Fcamr,0.004016064,0.973232323
chr1,132697478,132711317,+,Fcamr,0.004016064,0.973232323
chr1,132697478,132711317,+,Fcamr,0.004016064,0.973232323
chr1,132697478,132711317,+,Fcamr,0.004016064,0.973232323
chr1,132723260,132748826,+,Pigr,0.006559332,0.765372627
chr1,132762353,132777367,+,Faim3,0.007165605,0.021542439
chr1,132778650,132783988,-,Il24,0.005291005,0.033293698
chr1,132803768,132807873,-,Il20,0.012048193,0.98
chr1,132829232,132835818,-,Il19,0.035775128,0.023603462
chr1,132916421,132921547,+,Il10,0.008810573,0.017391304
chr1,132950280,132994120,-,Mapkapk2,0.00744249,0.754228512
chr1,133025017,133034811,-,Dyrk3,0.164600551,0.711678832
chr1,133049783,133068811,+,Eif2d,0.006430868,0.780735108
chr1,133049783,133070048,+,Eif2d,0.007285974,0.79333928
chr1,133072986,133141755,-,Rassf5,0.00984103,0.819714029
chr1,133151178,133176140,-,Ikbke,0.007758269,0.344485294
chr1,133181827,133423938,-,Srgap2,0.018143509,0.742664966
chr1,133424565,133436449,+,Fam72a,0.003947368,0.497378768
chr1,133495690,133508577,+,Avpr1b,0.007259528,0.07385466
chr1,133534890,133572084,+,Ctse,0.031007752,0.077179808
chr1,133585271,133610041,+,5430435G22Rik,0.006640106,0.543314217
chr1,133640598,133666982,+,Slc26a9,0.012391005,0.780051702
chr1,133693971,133714692,+,Pm20d1,0.005085823,0.01843592
chr1,133724588,133745440,+,Slc41a1,0.008368201,0.531836735
chr1,133763853,133769464,+,Rab7l1,0.006379585,0.378303199
chr1,133807034,133832898,+,Nucks1,0.008578431,0.61892247
chr1,133807034,133832898,+,Nucks1,0.008578431,0.61892247
chr1,133807034,133832898,+,Nucks1,0.008578431,0.61892247
chr1,133807034,133832898,+,Nucks1,0.008578431,0.61892247
chr1,133859491,133879549,+,Slc45a3,0.006866953,0.656727407
chr1,133867185,133879549,+,Slc45a3,0.007036747,0.933333333
chr1,133904181,133922261,+,Elk4,0.014120668,0.553338875
chr1,133923197,133964639,-,Mfsd4,0.007735793,0.776784505
chr1,133933359,133964639,-,Mfsd4,0.007387247,0.72028597
chr1,134010123,134036262,-,Cdk18,0.008168822,0.063581996
chr1,134088012,134153959,+,Lemd1,0.006556796,0.297656439
chr1,134094664,134094761,+,Mir135b,0,0
chr1,134195202,134203934,+,Klhdc8a,0.007928642,0.152650458
chr1,134212701,134230065,+,Nuak2,0.008217771,0.01826809
chr1,134212701,134230065,+,Nuak2,0.008217771,0.01826809
chr1,134212701,134230065,+,Nuak2,0.008217771,0.01826809
chr1,134212701,134230065,+,Nuak2,0.008217771,0.01826809
chr1,134252891,134287858,-,Tmcc2,0.008139209,0.774856204
chr1,134314029,134363536,+,Dstyk,0.010318396,0.566737139
chr1,134373943,134402242,+,Rbbp5,0.010702341,0.721788059
chr1,134402806,134405216,+,Tmem81,0.005586592,0.966126657
chr1,134406001,134439517,-,Cntn2,0.009601397,0.814870447
chr1,134461266,134539435,-,Nfasc,0.007385882,0.922257901
chr1,134461266,134603903,-,Nfasc,0.006913654,0.678635359
chr1,134461266,134638374,-,Nfasc,0.007420126,0.559871294
chr1,134461266,134638374,-,Nfasc,0.007420126,0.559871294
chr1,134461266,134638374,-,Nfasc,0.007420126,0.559871294
chr1,134461266,134638374,-,Nfasc,0.007420126,0.559871294
chr1,134625929,134629403,+,Gm10538,0.016161616,0.040834846
chr1,134776931,134836582,+,Lrrn2,0.011562782,0.130339273
chr1,134886421,134921925,-,Mdm4,0.016318538,0.889014403
chr1,134942588,135005265,+,Pik3c2b,0.009589041,0.891060088
chr1,135027742,135036377,+,Ppp1r15b,0.010569106,0.315966387
chr1,135142673,135200012,+,Plekha6,0.009412973,0.911562548
chr1,135142673,135200012,+,Plekha6,0.009412973,0.911562548
chr1,135142673,135200012,+,Plekha6,0.009412973,0.911562548
chr1,135142673,135200012,+,Plekha6,0.009412973,0.911562548
chr1,135146428,135166385,-,Gm19461,0.008328995,0.865337871
chr1,135206399,135219603,+,Golt1a,0.005159071,0.023001508
chr1,135223788,135226299,+,Kiss1,0.006666667,0.013404826
chr1,135247142,135256900,+,Ren2,0.004370629,0.01533361
chr1,135247250,135256896,+,Ren1,0.004370629,0.01533361
chr1,135260148,135276895,+,Etnk2,0.005633803,0.016851228
chr1,135278876,135320789,-,Sox13,0.008558646,0.147601802
chr1,135500447,135506857,-,Snrpe,0.010273973,0.517049408
chr1,135516447,135557957,-,Zc3h11a,0.010831586,0.828787099
chr1,13554782,13579945,-,Tram1,0.007655851,0.788930904
chr1,135552455,135557462,-,Zbed6,0.004739336,0.866217517
chr1,135575605,135586593,-,Lax1,0.017564403,0.18602261
chr1,135575605,135586685,-,Lax1,0.01734104,0.18358209
chr1,135599250,135650324,-,Atp2b4,0.008918185,0.942907767
chr1,135599250,135650324,-,Atp2b4,0.008918185,0.942907767
chr1,135599250,135650324,-,Atp2b4,0.008918185,0.942907767
chr1,135599250,135650324,-,Atp2b4,0.008918185,0.942907767
chr1,135793770,135803750,-,Optc,0.006276151,0.229099307
chr1,135793770,135803750,-,Optc,0.006276151,0.229099307
chr1,135793770,135803750,-,Optc,0.006276151,0.229099307
chr1,135793770,135803750,-,Optc,0.006276151,0.229099307
chr1,135793770,135804576,-,Optc,0.006698565,0.216010165
chr1,135797412,135803750,-,Optc,0.0048,0.160778659
chr1,135806881,135817978,-,Prelp,0.009960159,0.476529161
chr1,135934091,135944854,+,Fmod,0.006369427,0.021782178
chr1,135971441,135975732,-,Btg2,0.014742015,0.031268791
chr1,136007818,136048013,+,Chit1,0.010357815,0.319777601
chr1,136078980,136086608,+,Chi3l1,0.013071895,0.018506701
chr1,136090024,136097809,+,Mybph,0.006968641,0.03119957
chr1,136095798,136132004,-,Adora1,0.008004574,0.104885057
chr1,136095798,136132008,-,Adora1,0.008004574,0.104885057
chr1,13615979,13650590,-,Lactb2,0.014745828,0.54789886
chr1,136186580,136189125,+,Myog,0.01459854,0.027960526
chr1,136193359,136229505,-,Ppfia4,0.010424423,0.95751073
chr1,136242673,136258576,-,Tmem183a,0.007804878,0.59238477
chr1,136242673,136258576,-,Tmem183a,0.007804878,0.59238477
chr1,136242673,136258576,-,Tmem183a,0.007804878,0.59238477
chr1,136242673,136258576,-,Tmem183a,0.007804878,0.59238477
chr1,136282516,136287560,+,4933406M09Rik,0.00486618,0.035028249
chr1,136302566,136308315,+,Cyb5r1,0.014265335,0.600377596
chr1,136312043,136328918,+,Adipor1,0.007184847,0.684853906
chr1,136352131,136387450,+,Klhl12,0.010128913,0.846038222
chr1,136391236,136404461,+,Rabif,0.004468275,0.693344222
chr1,136437521,136443599,-,4931440L10Rik,0.031007752,0.843881857
chr1,136437521,136443599,-,4931440L10Rik,0.031007752,0.843881857
chr1,136437521,136443599,-,4931440L10Rik,0.031007752,0.843881857
chr1,136437521,136443599,-,4931440L10Rik,0.031007752,0.843881857
chr1,136456754,136529455,+,Kdm5b,0.010514541,0.404601077
chr1,136543257,136645994,+,Syt2,0.00934089,0.839184652
chr1,13658851,13691804,+,Xkr9,0.008137432,0.035988678
chr1,136662519,136852517,-,Ppp1r12b,0.008634693,0.878973881
chr1,136676299,136700298,-,Ppp1r12b,0.012093726,0.974990527
chr1,136859153,136870714,+,Ube2t,0.008517888,0.593926554
chr1,136882929,137001853,-,Lgr6,0.009482208,0.850203016
chr1,137005074,137029152,-,Ptprv,0.008268259,0.731772991
chr1,137029301,137041897,+,Ptpn7,0.011510791,0.057730328
chr1,137043410,137052845,+,Arl8a,0.006685769,0.188710755
chr1,137056826,137064258,-,Gpr37l1,0.006279435,0.020899303
chr1,137150150,137155049,-,Elf3,0.006203474,0.279581728
chr1,137150150,137155049,-,Elf3,0.006203474,0.279581728
chr1,137150150,137155049,-,Elf3,0.006203474,0.279581728
chr1,137150150,137155049,-,Elf3,0.006203474,0.279581728
chr1,137159275,137180661,-,Rnpep,0.008633094,0.414883173
chr1,137159275,137180661,-,Rnpep,0.008633094,0.414883173
chr1,137159275,137180661,-,Rnpep,0.008633094,0.414883173
chr1,137159275,137180661,-,Rnpep,0.008633094,0.414883173
chr1,137198111,137210314,-,Timm17a,0.014953271,0.659617731
chr1,137221389,137264642,+,Lmod1,0.010692011,0.133983647
chr1,137268032,137271640,-,Shisa4,0.003533569,0.007125891
chr1,137278891,137327068,-,Ipo9,0.010010537,0.801755571
chr1,137331156,137481932,-,Nav1,0.007144343,0.805152464
chr1,137625773,137648806,+,Csrp1,0.008249313,0.781362768
chr1,137662661,137665711,+,Phlda3,0.008064516,0.01829653
chr1,137695997,137707566,+,Tnni1,0.014846235,0.018679409
chr1,137696087,137707566,+,Tnni1,0.014941302,0.018769096
chr1,137715174,137729918,+,Lad1,0.004058853,0.089464124
chr1,137732910,137748845,+,Tnnt2,0.00397088,0.024519549
chr1,137732910,137748845,+,Tnnt2,0.00397088,0.024519549
chr1,137732910,137748845,+,Tnnt2,0.00397088,0.024519549
chr1,137732910,137748845,+,Tnnt2,0.00397088,0.024519549
chr1,137732910,137748845,+,Tnnt2,0.00397088,0.024519549
chr1,137732910,137748845,+,Tnnt2,0.00397088,0.024519549
chr1,137732910,137748845,+,Tnnt2,0.00397088,0.024519549
chr1,137732910,137748845,+,Tnnt2,0.00397088,0.024519549
chr1,137732910,137748845,+,Tnnt2,0.00397088,0.024519549
chr1,137732910,137748845,+,Tnnt2,0.00397088,0.024519549
chr1,137732910,137748845,+,Tnnt2,0.00397088,0.024519549
chr1,137732910,137748845,+,Tnnt2,0.00397088,0.024519549
chr1,137732910,137748845,+,Tnnt2,0.00397088,0.024519549
chr1,137732910,137748845,+,Tnnt2,0.00397088,0.024519549
chr1,137732910,137748845,+,Tnnt2,0.00397088,0.024519549
chr1,137732910,137748845,+,Tnnt2,0.00397088,0.024519549
chr1,137732910,137748845,+,Tnnt2,0.00397088,0.024519549
chr1,137732910,137748845,+,Tnnt2,0.00397088,0.024519549
chr1,137732910,137748845,+,Tnnt2,0.00397088,0.024519549
chr1,137732910,137748845,+,Tnnt2,0.00397088,0.024519549
chr1,137732910,137748845,+,Tnnt2,0.00397088,0.024519549
chr1,137732910,137748845,+,Tnnt2,0.00397088,0.024519549
chr1,137732910,137748845,+,Tnnt2,0.00397088,0.024519549
chr1,137732910,137748845,+,Tnnt2,0.00397088,0.024519549
chr1,137732910,137748845,+,Tnnt2,0.00397088,0.024519549
chr1,137732910,137748845,+,Tnnt2,0.00397088,0.024519549
chr1,137732910,137748845,+,Tnnt2,0.00397088,0.024519549
chr1,137732910,137748845,+,Tnnt2,0.00397088,0.024519549
chr1,137732910,137748845,+,Tnnt2,0.00397088,0.024519549
chr1,137732910,137748845,+,Tnnt2,0.00397088,0.024519549
chr1,137732910,137748845,+,Tnnt2,0.00397088,0.024519549
chr1,137732910,137748845,+,Tnnt2,0.00397088,0.024519549
chr1,137732910,137748845,+,Tnnt2,0.00397088,0.024519549
chr1,137732910,137748845,+,Tnnt2,0.00397088,0.024519549
chr1,137732910,137748845,+,Tnnt2,0.00397088,0.024519549
chr1,137732910,137748845,+,Tnnt2,0.00397088,0.024519549
chr1,137732910,137748845,+,Tnnt2,0.00397088,0.024519549
chr1,137732910,137748845,+,Tnnt2,0.00397088,0.024519549
chr1,137732910,137748845,+,Tnnt2,0.00397088,0.024519549
chr1,137732910,137748845,+,Tnnt2,0.00397088,0.024519549
chr1,137732910,137748845,+,Tnnt2,0.00397088,0.024519549
chr1,137732910,137748845,+,Tnnt2,0.00397088,0.024519549
chr1,137732910,137748845,+,Tnnt2,0.00397088,0.024519549
chr1,137732910,137748845,+,Tnnt2,0.00397088,0.024519549
chr1,137732910,137748845,+,Tnnt2,0.00397088,0.024519549
chr1,137732910,137748845,+,Tnnt2,0.00397088,0.024519549
chr1,137732910,137748845,+,Tnnt2,0.00397088,0.024519549
chr1,137732910,137748845,+,Tnnt2,0.00397088,0.024519549
chr1,137732910,137748845,+,Tnnt2,0.00397088,0.024519549
chr1,137732910,137748845,+,Tnnt2,0.00397088,0.024519549
chr1,137732910,137748845,+,Tnnt2,0.00397088,0.024519549
chr1,137732910,137748845,+,Tnnt2,0.00397088,0.024519549
chr1,137732910,137748845,+,Tnnt2,0.00397088,0.024519549
chr1,137732910,137748845,+,Tnnt2,0.00397088,0.024519549
chr1,137732910,137748845,+,Tnnt2,0.00397088,0.024519549
chr1,137732910,137748845,+,Tnnt2,0.00397088,0.024519549
chr1,137732910,137748845,+,Tnnt2,0.00397088,0.024519549
chr1,137732910,137748845,+,Tnnt2,0.00397088,0.024519549
chr1,137732910,137748845,+,Tnnt2,0.00397088,0.024519549
chr1,137732910,137748845,+,Tnnt2,0.00397088,0.024519549
chr1,137732910,137748845,+,Tnnt2,0.00397088,0.024519549
chr1,137732910,137748845,+,Tnnt2,0.00397088,0.024519549
chr1,137732910,137748845,+,Tnnt2,0.00397088,0.024519549
chr1,137732910,137748845,+,Tnnt2,0.00397088,0.024519549
chr1,137737437,137748838,+,Tnnt2,0.004655493,0.026821636
chr1,13775765,13777010,-,Gm5523,0.01910828,0.813504823
chr1,137767971,137815601,-,Pkp1,0.012210316,0.024901851
chr1,137850154,137902919,-,Igfn1,0.010526316,0.739726027
chr1,137904795,137931607,+,Tmem9,0.007848569,0.791442786
chr1,137914577,137931607,+,Tmem9,0.006300115,0.842419716
chr1,137914732,137931607,+,Tmem9,0.005851375,0.858447489
chr1,137947380,137947947,+,Ascl5,0,0.013856813
chr1,137949477,138016399,+,Cacna1s,0.009472959,0.034108527
chr1,137949477,138016399,+,Cacna1s,0.009472959,0.034108527
chr1,137949477,138016399,+,Cacna1s,0.009472959,0.034108527
chr1,137949477,138016399,+,Cacna1s,0.009472959,0.034108527
chr1,138024295,138027760,-,Gm15850,0.003984064,0.164383562
chr1,138024295,138027760,-,Gm15850,0.003984064,0.164383562
chr1,138024295,138027760,-,Gm15850,0.003984064,0.164383562
chr1,138024295,138027760,-,Gm15850,0.003984064,0.164383562
chr1,138024295,138027760,-,Gm15850,0.003984064,0.164383562
chr1,138024295,138027760,-,Gm15850,0.003984064,0.164383562
chr1,138024295,138027760,-,Gm15850,0.003984064,0.164383562
chr1,138024295,138027760,-,Gm15850,0.003984064,0.164383562
chr1,138024295,138027760,-,Gm15850,0.003984064,0.164383562
chr1,138024295,138027760,-,Gm15850,0.003984064,0.164383562
chr1,138024295,138027760,-,Gm15850,0.003984064,0.164383562
chr1,138024295,138027760,-,Gm15850,0.003984064,0.164383562
chr1,138024295,138027760,-,Gm15850,0.003984064,0.164383562
chr1,138024295,138027760,-,Gm15850,0.003984064,0.164383562
chr1,138024295,138027760,-,Gm15850,0.003984064,0.164383562
chr1,138024295,138027760,-,Gm15850,0.003984064,0.164383562
chr1,138027977,138074591,+,Kif21b,0.009482482,0.528347127
chr1,138110098,138130857,-,5730559C18Rik,0.012249443,0.174216594
chr1,138155490,138157450,-,Gpr25,0.006756757,0.007147111
chr1,138164699,138242681,-,Camsap2,0.011572856,0.74304898
chr1,138308492,138312096,-,9230116N13Rik,0.003891051,0.18385214
chr1,138311847,138336797,+,Ddx59,0.012169534,0.814916543
chr1,138364534,138428088,+,Kif14,0.010985512,0.94650714
chr1,138521477,138526968,+,Zfp281,0.009512485,0.44115975
chr1,138521477,138526968,+,Zfp281,0.009512485,0.44115975
chr1,138521477,138526968,+,Zfp281,0.009512485,0.44115975
chr1,138521477,138526968,+,Zfp281,0.009512485,0.44115975
chr1,138579972,138587382,+,Gm19705,0.009237875,0.972406181
chr1,138580205,138587382,+,Gm19705,0.009456265,0.971910112
chr1,138592787,138622305,+,Gm16880,0.005957109,0.508366534
chr1,138740160,138850207,-,Nr5a2,0.017472971,0.90640599
chr1,138740160,138857025,-,Nr5a2,0.016827672,0.868597321
chr1,139863031,139863118,+,Mir181a-1,0,0.223880597
chr1,139863215,139863295,+,Mir181b-1,0,0.166666667
chr1,139959435,140071703,-,Ptprc,0.00882825,0.047310691
chr1,139959435,140071882,-,Ptprc,0.008809397,0.047179758
chr1,139959435,140071882,-,Ptprc,0.008809397,0.047179758
chr1,139959435,140071882,-,Ptprc,0.008809397,0.047179758
chr1,139959435,140071882,-,Ptprc,0.008809397,0.047179758
chr1,140170314,140186039,+,Atp6v1g3,0.008608321,0.035616438
chr1,140381290,140516273,-,Nek7,0.00817468,0.777020866
chr1,140536671,140578652,-,Gm5833,0.018343195,0.131683732
chr1,140721762,140739021,-,Lhx9,0.005997819,0.014549864
chr1,140721762,140744156,-,Lhx9,0.006033789,0.014583333
chr1,140727523,140739021,-,Lhx9,0.006748466,0.0128072
chr1,140748555,140753431,-,2310009B15Rik,0.00776699,0.144880174
chr1,140860285,141072619,+,Dennd1b,0.011884225,0.748628084
